year,target_country,super_power,allequal_model,security_model,economic_model,diplomatic_model,informational_model,sec_hierarchy,econ_hierarchy,diplo_hierarchy,info_hierarchy,arms_sales,defense_pacts,military_bases,export_dep,import_dep,fdi_dep,pfi_scores,dsp_scores,unga_voting,HOS_meetings
2012,India,China,0.39,0.26,0.28,0.54,0.47,0,0.06,0.85,0.65,0,0,0,0.06,0.11,0,NA,0.65,0.7,1
2013,India,China,0.41,0.27,0.29,0.58,0.49,0,0.06,0.92,0.65,0,0,0,0.05,0.11,0,NA,0.65,0.84,1
2014,India,China,0.4,0.26,0.28,0.57,0.47,0,0.06,0.92,0.61,0,0,0,0.05,0.12,0,NA,0.61,0.83,1
2015,India,China,0.33,0.22,0.24,0.43,0.42,0,0.07,0.63,0.61,0,0,0,0.04,0.16,0,NA,0.61,0.76,0.5
2016,India,China,0.36,0.24,0.27,0.5,0.45,0,0.07,0.78,0.61,0,0,0,0.04,0.17,0,NA,0.61,0.55,1
2017,India,China,0.31,0.21,0.23,0.4,0.41,0,0.07,0.57,0.61,0,0,0,0.05,0.16,0,NA,0.61,0.64,0.5
2018,India,China,NA,NA,NA,NA,NA,0,NA,0.89,0.61,0,0,0,NA,NA,NA,NA,0.61,0.77,1
1991,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1992,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1993,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1994,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1995,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1996,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1997,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1998,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
1999,India,India,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,NA
2000,India,India,NA,NA,NA,NA,NA,0,NA,1,0.63,0,0,0,NA,NA,NA,NA,0.63,1,NA
2001,India,India,NA,NA,NA,NA,NA,0,NA,1,0.64,0,0,0,NA,NA,NA,NA,0.64,1,NA
2002,India,India,NA,NA,NA,NA,NA,0,NA,1,0.64,0,0,0,NA,NA,NA,NA,0.64,1,NA
2003,India,India,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2004,India,India,NA,NA,NA,NA,NA,0,NA,0.75,0.64,0,0,0,NA,NA,NA,NA,0.64,1,0.5
2005,India,India,NA,NA,NA,NA,NA,0,NA,0.75,0.64,0,0,0,NA,NA,NA,NA,0.64,1,0.5
2006,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.64,0,0,0,NA,NA,NA,NA,0.64,1,0
2007,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.65,0,0,0,NA,NA,NA,NA,0.65,1,0
2008,India,India,NA,NA,NA,NA,NA,0,NA,1,0.65,0,0,0,NA,NA,NA,NA,0.65,1,1
2009,India,India,NA,NA,NA,NA,NA,0,NA,1,0.65,0,0,0,NA,NA,NA,NA,0.65,1,1
2010,India,India,NA,NA,NA,NA,NA,0,NA,0.75,0.65,0,0,0,NA,NA,NA,NA,0.65,1,0.5
2011,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.65,0,0,0,NA,NA,NA,NA,0.65,1,0
2012,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.65,0,0,0,NA,NA,NA,NA,0.65,1,0
2013,India,India,NA,NA,NA,NA,NA,0,NA,0.75,0.65,0,0,0,NA,NA,NA,NA,0.65,1,0.5
2014,India,India,NA,NA,NA,NA,NA,0,NA,0.75,0.61,0,0,0,NA,NA,NA,NA,0.61,1,0.5
2015,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.61,0,0,0,NA,NA,NA,NA,0.61,1,0
2016,India,India,NA,NA,NA,NA,NA,0,NA,1,0.61,0,0,0,NA,NA,NA,NA,0.61,1,1
2017,India,India,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2018,India,India,NA,NA,NA,NA,NA,0,NA,0.5,0.61,0,0,0,NA,NA,NA,NA,0.61,1,0
1991,India,Russia,NA,NA,NA,NA,NA,0,NA,0.54,NA,0,0,0,NA,NA,NA,NA,NA,0.54,NA
1992,India,Russia,NA,NA,NA,NA,NA,0.33,NA,0.44,NA,1,0,0,NA,NA,NA,NA,NA,0.44,NA
1993,India,Russia,NA,NA,NA,NA,NA,0.17,NA,0.35,NA,0.5,0,0,NA,NA,NA,NA,NA,0.35,NA
1994,India,Russia,NA,NA,NA,NA,NA,0.33,NA,0.41,NA,1,0,0,NA,NA,NA,NA,NA,0.41,NA
1995,India,Russia,NA,NA,NA,NA,NA,0.33,0.03,0.43,NA,1,0,0,0.03,0.02,NA,NA,NA,0.43,NA
1996,India,Russia,NA,NA,NA,NA,NA,0.33,0.02,0.49,NA,1,0,0,0.02,0.02,NA,NA,NA,0.49,NA
1997,India,Russia,NA,NA,NA,NA,NA,0.33,0.02,0.57,NA,1,0,0,0.03,0.02,NA,NA,NA,0.57,NA
1998,India,Russia,NA,NA,NA,NA,NA,0.33,0.02,0.56,NA,1,0,0,0.02,0.02,NA,NA,NA,0.56,NA
1999,India,Russia,NA,NA,NA,NA,NA,0.17,0.02,0.62,NA,0.5,0,0,0.02,0.02,NA,NA,NA,0.62,NA
2000,India,Russia,0.41,0.39,0.28,0.5,0.49,0.33,0.02,0.67,0.63,1,0,0,0.02,0.02,NA,NA,0.63,0.67,NA
2001,India,Russia,0.42,0.39,0.29,0.51,0.49,0.33,0.02,0.69,0.64,1,0,0,0.02,0.02,NA,NA,0.64,0.69,NA
2002,India,Russia,0.37,0.3,0.25,0.46,0.46,0.17,0.02,0.66,0.64,0.5,0,0,0.01,0.02,NA,NA,0.64,0.66,NA
2003,India,Russia,0.29,0.25,0.2,0.3,0.41,0.17,0.01,0.32,0.64,0.5,0,0,0.01,0.02,NA,NA,0.64,0.65,0
2004,India,Russia,0.33,0.33,0.23,0.33,0.44,0.33,0.01,0.34,0.64,1,0,0,0.01,0.02,NA,NA,0.64,0.67,0
2005,India,Russia,0.4,0.38,0.27,0.46,0.48,0.33,0.01,0.6,0.64,1,0,0,0.01,0.02,NA,NA,0.64,0.7,0.5
2006,India,Russia,0.36,0.3,0.25,0.45,0.46,0.17,0.01,0.63,0.64,0.5,0,0,0.01,0.01,NA,NA,0.64,0.76,0.5
2007,India,Russia,0.36,0.3,0.25,0.45,0.46,0.17,0.01,0.63,0.65,0.5,0,0,0.01,0.01,NA,NA,0.65,0.75,0.5
2008,India,Russia,0.36,0.3,0.24,0.44,0.46,0.17,0.01,0.61,0.65,0.5,0,0,0.01,0.02,NA,NA,0.65,0.73,0.5
2009,India,Russia,0.42,0.33,0.29,0.56,0.49,0.17,0.02,0.84,0.65,0.5,0,0,0.01,0.02,0.03,NA,0.65,0.68,1
2010,India,Russia,0.4,0.33,0.27,0.53,0.49,0.17,0.01,0.79,0.65,0.5,0,0,0.01,0.01,0.01,NA,0.65,0.59,1
2011,India,Russia,0.41,0.33,0.28,0.55,0.49,0.17,0.01,0.84,0.65,0.5,0,0,0.01,0.01,0,NA,0.65,0.67,1
2012,India,Russia,0.41,0.33,0.27,0.54,0.49,0.17,0.01,0.8,0.65,0.5,0,0,0.01,0.01,0,NA,0.65,0.6,1
2013,India,Russia,0.36,0.29,0.24,0.44,0.46,0.17,0.01,0.61,0.65,0.5,0,0,0.01,0.01,0,NA,0.65,0.72,0.5
2014,India,Russia,0.36,0.24,0.24,0.52,0.44,0,0.01,0.83,0.61,0,0,0,0.01,0.01,0,NA,0.61,0.66,1
2015,India,Russia,0.36,0.24,0.24,0.51,0.44,0,0.01,0.81,0.61,0,0,0,0.01,0.01,0,NA,0.61,0.62,1
2016,India,Russia,0.32,0.27,0.22,0.38,0.42,0.17,0.01,0.5,0.61,0.5,0,0,0.01,0.01,0,NA,0.61,0.5,0.5
2017,India,Russia,0.22,0.15,0.15,0.24,0.35,0,0.01,0.27,0.61,0,0,0,0.01,0.02,0,NA,0.61,0.54,0
2018,India,Russia,NA,NA,NA,NA,NA,0,NA,0.84,0.61,0,0,0,NA,NA,NA,NA,0.61,0.67,1
1991,India,United States,NA,NA,NA,NA,NA,0,NA,0.12,NA,0,0,0,NA,NA,NA,NA,NA,0.12,NA
1992,India,United States,NA,NA,NA,NA,NA,0,NA,0.1,NA,0,0,0,NA,NA,NA,NA,NA,0.1,NA
1993,India,United States,NA,NA,NA,NA,NA,0.17,NA,0.08,NA,0.5,0,0,NA,NA,NA,NA,NA,0.08,NA
1994,India,United States,NA,NA,NA,NA,NA,0,NA,0.13,NA,0,0,0,NA,NA,NA,NA,NA,0.13,NA
1995,India,United States,NA,NA,NA,NA,NA,0,0.12,0.09,NA,0,0,0,0.14,0.1,NA,NA,NA,0.09,NA
1996,India,United States,NA,NA,NA,NA,NA,0,0.11,0.14,NA,0,0,0,0.14,0.09,NA,NA,NA,0.14,NA
1997,India,United States,NA,NA,NA,NA,NA,0,0.12,0.18,NA,0,0,0,0.15,0.09,NA,NA,NA,0.18,NA
1998,India,United States,NA,NA,NA,NA,NA,0,0.13,0.15,NA,0,0,0,0.17,0.09,NA,NA,NA,0.15,NA
1999,India,United States,NA,NA,NA,NA,NA,0.17,0.13,0.17,NA,0.5,0,0,0.18,0.07,NA,NA,NA,0.17,NA
2000,India,United States,0.23,0.15,0.2,0.21,0.37,0,0.13,0.17,0.63,0,0,0,0.19,0.06,NA,NA,0.63,0.17,NA
2001,India,United States,0.23,0.15,0.19,0.2,0.36,0,0.12,0.15,0.64,0,0,0,0.18,0.07,NA,NA,0.64,0.15,NA
2002,India,United States,0.28,0.24,0.23,0.25,0.4,0.17,0.13,0.18,0.64,0.5,0,0,0.19,0.07,NA,NA,0.64,0.18,NA
2003,India,United States,0.25,0.23,0.21,0.2,0.38,0.17,0.12,0.09,0.64,0.5,0,0,0.17,0.07,NA,NA,0.64,0.17,0
2004,India,United States,0.21,0.14,0.18,0.16,0.35,0,0.11,0.07,0.64,0,0,0,0.16,0.06,NA,NA,0.64,0.15,0
2005,India,United States,0.21,0.14,0.17,0.16,0.35,0,0.11,0.07,0.64,0,0,0,0.16,0.06,NA,NA,0.64,0.14,0
2006,India,United States,0.31,0.26,0.24,0.32,0.42,0.17,0.11,0.33,0.64,0.5,0,0,0.15,0.06,NA,NA,0.64,0.16,0.5
2007,India,United States,0.24,0.22,0.2,0.18,0.38,0.17,0.11,0.06,0.65,0.5,0,0,0.15,0.07,NA,NA,0.65,0.12,0
2008,India,United States,0.25,0.22,0.2,0.2,0.38,0.17,0.09,0.09,0.65,0.5,0,0,0.12,0.06,NA,NA,0.65,0.19,0
2009,India,United States,0.27,0.23,0.23,0.21,0.4,0.17,0.16,0.1,0.65,0.5,0,0,0.11,0.05,0.32,NA,0.65,0.2,0
2010,India,United States,0.32,0.27,0.26,0.33,0.43,0.17,0.12,0.35,0.65,0.5,0,0,0.12,0.05,0.2,NA,0.65,0.21,0.5
2011,India,United States,0.26,0.23,0.2,0.21,0.39,0.17,0.09,0.13,0.65,0.5,0,0,0.11,0.04,0.11,NA,0.65,0.26,0
2012,India,United States,0.26,0.23,0.2,0.21,0.39,0.17,0.1,0.11,0.65,0.5,0,0,0.12,0.04,0.14,NA,0.65,0.22,0
2013,India,United States,0.24,0.22,0.2,0.18,0.38,0.17,0.1,0.05,0.65,0.5,0,0,0.12,0.04,0.14,NA,0.65,0.11,0
2014,India,United States,0.2,0.13,0.17,0.15,0.33,0,0.11,0.06,0.61,0,0,0,0.12,0.04,0.16,NA,0.61,0.13,0
2015,India,United States,0.27,0.18,0.22,0.29,0.38,0,0.12,0.35,0.61,0,0,0,0.16,0.05,0.15,NA,0.61,0.19,0.5
2016,India,United States,0.25,0.23,0.21,0.21,0.37,0.17,0.13,0.11,0.61,0.5,0,0,0.17,0.06,0.15,NA,0.61,0.22,0
2017,India,United States,0.21,0.14,0.18,0.17,0.34,0,0.12,0.1,0.61,0,0,0,0.15,0.05,0.15,NA,0.61,0.2,0
2018,India,United States,NA,NA,NA,NA,NA,0,NA,0.11,0.61,0,0,0,NA,NA,NA,NA,0.61,0.21,0
1991,Indonesia,China,NA,NA,NA,NA,NA,0,NA,0.94,NA,0,0,0,NA,NA,NA,NA,NA,0.94,NA
1992,Indonesia,China,NA,NA,NA,NA,NA,0,NA,0.87,NA,0,0,0,NA,NA,NA,NA,NA,0.87,NA
1993,Indonesia,China,NA,NA,NA,NA,NA,0,NA,0.94,NA,0,0,0,NA,NA,NA,NA,NA,0.94,NA
1994,Indonesia,China,NA,NA,NA,NA,NA,0,NA,0.88,NA,0,0,0,NA,NA,NA,NA,NA,0.88,NA
1995,Indonesia,China,NA,NA,NA,NA,NA,0,0.04,0.86,NA,0,0,0,0.04,0.04,NA,NA,NA,0.86,NA
1996,Indonesia,China,NA,NA,NA,NA,NA,0,0.04,0.83,NA,0,0,0,0.04,0.04,NA,NA,NA,0.83,NA
1997,Indonesia,China,NA,NA,NA,NA,NA,0,0.04,0.85,NA,0,0,0,0.04,0.04,NA,NA,NA,0.85,NA
1998,Indonesia,China,NA,NA,NA,NA,NA,0,0.04,0.84,NA,0,0,0,0.04,0.04,NA,NA,NA,0.84,NA
1999,Indonesia,China,NA,NA,NA,NA,NA,0,0.05,0.84,NA,0,0,0,0.05,0.05,NA,NA,NA,0.84,NA
2000,Indonesia,China,0.38,0.26,0.28,0.54,0.46,0,0.06,0.85,0.62,0,0,0,0.05,0.07,NA,NA,0.62,0.85,NA
2001,Indonesia,China,0.39,0.26,0.28,0.55,0.47,0,0.06,0.88,0.62,0,0,0,0.05,0.07,NA,NA,0.62,0.88,NA
2002,Indonesia,China,0.36,0.24,0.27,0.51,0.44,0,0.07,0.8,0.59,0,0,0,0.06,0.08,NA,0.55,0.62,0.8,NA
2003,Indonesia,China,0.3,0.2,0.23,0.35,0.42,0,0.08,0.46,0.67,0,0,0,0.06,0.09,NA,0.72,0.62,0.91,0
2004,Indonesia,China,0.37,0.25,0.27,0.48,0.48,0,0.08,0.71,0.69,0,0,0,0.07,0.09,NA,0.75,0.63,0.92,0.5
2005,Indonesia,China,0.46,0.36,0.34,0.62,0.53,0.17,0.09,0.94,0.65,0.5,0,0,0.08,0.11,NA,0.68,0.63,0.88,1
2006,Indonesia,China,0.35,0.29,0.26,0.39,0.45,0.17,0.1,0.47,0.64,0.5,0,0,0.08,0.11,NA,0.66,0.63,0.94,0
2007,Indonesia,China,0.3,0.2,0.23,0.35,0.41,0,0.1,0.46,0.64,0,0,0,0.08,0.12,NA,0.65,0.63,0.91,0
2008,Indonesia,China,0.34,0.28,0.26,0.38,0.45,0.17,0.1,0.44,0.66,0.5,0,0,0.08,0.12,NA,0.69,0.63,0.88,0
2009,Indonesia,China,0.33,0.28,0.25,0.37,0.43,0.17,0.09,0.45,0.63,0.5,0,0,0.09,0.15,0.04,0.62,0.63,0.91,0
2010,Indonesia,China,0.31,0.21,0.24,0.37,0.43,0,0.1,0.48,0.67,0,0,0,0.1,0.16,0.03,0.7,0.63,0.95,0
2011,Indonesia,China,0.33,0.27,0.25,0.35,0.43,0.17,0.1,0.41,0.63,0.5,0,0,0.12,0.15,0.04,NA,0.63,0.81,0
2012,Indonesia,China,0.43,0.29,0.32,0.59,0.53,0,0.1,0.9,0.74,0,0,0,0.12,0.16,0.03,0.84,0.63,0.79,1
2013,Indonesia,China,0.4,0.31,0.3,0.5,0.51,0.11,0.1,0.68,0.72,0.33,0,0,0.13,0.17,0.01,0.81,0.63,0.86,0.5
2014,Indonesia,China,0.41,0.33,0.31,0.51,0.51,0.17,0.11,0.69,0.69,0.5,0,0,0.11,0.18,0.03,0.76,0.63,0.88,0.5
2015,Indonesia,China,0.52,0.45,0.39,0.64,0.58,0.33,0.13,0.88,0.72,1,0,0,0.11,0.25,0.03,0.79,0.64,0.76,1
2016,Indonesia,China,0.39,0.32,0.3,0.46,0.49,0.17,0.12,0.59,0.69,0.5,0,0,0.11,0.23,0.03,0.74,0.63,0.68,0.5
2017,Indonesia,China,0.33,0.27,0.26,0.33,0.44,0.17,0.13,0.34,0.67,0.5,0,0,0.14,0.22,0.03,0.71,0.63,0.68,0
2018,Indonesia,China,NA,NA,NA,NA,NA,0,NA,0.41,0.67,0,0,0,NA,NA,NA,0.71,0.63,0.83,0
1991,Indonesia,India,NA,NA,NA,NA,NA,0,NA,0.91,NA,0,0,0,NA,NA,NA,NA,NA,0.91,NA
1992,Indonesia,India,NA,NA,NA,NA,NA,0,NA,0.88,NA,0,0,0,NA,NA,NA,NA,NA,0.88,NA
1993,Indonesia,India,NA,NA,NA,NA,NA,0,NA,0.92,NA,0,0,0,NA,NA,NA,NA,NA,0.92,NA
1994,Indonesia,India,NA,NA,NA,NA,NA,0,NA,0.81,NA,0,0,0,NA,NA,NA,NA,NA,0.81,NA
1995,Indonesia,India,NA,NA,NA,NA,NA,0,0.01,0.87,NA,0,0,0,0.01,0.01,NA,NA,NA,0.87,NA
1996,Indonesia,India,NA,NA,NA,NA,NA,0,0.02,0.85,NA,0,0,0,0.01,0.02,NA,NA,NA,0.85,NA
1997,Indonesia,India,NA,NA,NA,NA,NA,0,0.01,0.77,NA,0,0,0,0.01,0.02,NA,NA,NA,0.77,NA
1998,Indonesia,India,NA,NA,NA,NA,NA,0,0.01,0.69,NA,0,0,0,0.01,0.01,NA,NA,NA,0.69,NA
1999,Indonesia,India,NA,NA,NA,NA,NA,0,0.02,0.76,NA,0,0,0,0.02,0.01,NA,NA,NA,0.76,NA
2000,Indonesia,India,0.36,0.24,0.25,0.51,0.45,0,0.02,0.82,0.62,0,0,0,0.02,0.02,NA,NA,0.62,0.82,NA
2001,Indonesia,India,0.37,0.24,0.25,0.52,0.45,0,0.02,0.82,0.62,0,0,0,0.02,0.02,NA,NA,0.62,0.82,NA
2002,Indonesia,India,0.38,0.25,0.26,0.5,0.5,0,0.02,0.75,0.75,0,0,0,0.02,0.02,NA,0.87,0.62,0.75,NA
2003,Indonesia,India,0.35,0.24,0.24,0.45,0.49,0,0.02,0.63,0.76,0,0,0,0.03,0.02,NA,0.9,0.62,0.76,0.5
2004,Indonesia,India,0.3,0.2,0.21,0.33,0.47,0,0.02,0.39,0.8,0,0,0,0.03,0.02,NA,0.98,0.63,0.78,0
2005,Indonesia,India,0.43,0.29,0.29,0.58,0.55,0,0.02,0.89,0.8,0,0,0,0.03,0.02,NA,0.98,0.63,0.77,1
2006,Indonesia,India,0.31,0.21,0.22,0.34,0.48,0,0.03,0.41,0.81,0,0,0,0.03,0.02,NA,0.99,0.63,0.81,0
2007,Indonesia,India,0.3,0.2,0.21,0.33,0.45,0,0.03,0.4,0.76,0,0,0,0.04,0.02,NA,0.89,0.63,0.8,0
2008,Indonesia,India,0.37,0.24,0.26,0.46,0.51,0,0.03,0.63,0.8,0,0,0,0.04,0.02,NA,0.96,0.63,0.77,0.5
2009,Indonesia,India,0.36,0.24,0.25,0.45,0.51,0,0.03,0.62,0.8,0,0,0,0.06,0.02,0,0.97,0.63,0.74,0.5
2010,Indonesia,India,0.3,0.2,0.21,0.32,0.47,0,0.03,0.37,0.8,0,0,0,0.05,0.03,0,0.97,0.63,0.75,0
2011,Indonesia,India,0.37,0.25,0.26,0.52,0.46,0,0.03,0.81,0.63,0,0,0,0.07,0.03,0,NA,0.63,0.63,1
2012,Indonesia,India,0.29,0.19,0.2,0.31,0.45,0,0.03,0.35,0.78,0,0,0,0.06,0.02,0,0.92,0.63,0.7,0
2013,Indonesia,India,0.38,0.25,0.26,0.47,0.52,0,0.03,0.66,0.81,0,0,0,0.07,0.02,0,0.99,0.63,0.83,0.5
2014,Indonesia,India,0.31,0.21,0.22,0.35,0.47,0,0.03,0.43,0.79,0,0,0,0.07,0.02,0,0.96,0.63,0.86,0
2015,Indonesia,India,0.37,0.25,0.26,0.46,0.52,0,0.03,0.65,0.82,0,0,0,0.08,0.02,0,0.99,0.64,0.79,0.5
2016,Indonesia,India,0.42,0.28,0.29,0.56,0.55,0,0.03,0.85,0.81,0,0,0,0.07,0.02,0,0.98,0.63,0.69,1
2017,Indonesia,India,0.29,0.2,0.21,0.32,0.46,0,0.04,0.36,0.78,0,0,0,0.08,0.03,0,0.93,0.63,0.72,0
2018,Indonesia,India,NA,NA,NA,NA,NA,0,NA,0.91,0.78,0,0,0,NA,NA,NA,0.92,0.63,0.81,1
1991,Indonesia,Russia,NA,NA,NA,NA,NA,0,NA,0.53,NA,0,0,0,NA,NA,NA,NA,NA,0.53,NA
1992,Indonesia,Russia,NA,NA,NA,NA,NA,0,NA,0.42,NA,0,0,0,NA,NA,NA,NA,NA,0.42,NA
1993,Indonesia,Russia,NA,NA,NA,NA,NA,0,NA,0.36,NA,0,0,0,NA,NA,NA,NA,NA,0.36,NA
1994,Indonesia,Russia,NA,NA,NA,NA,NA,0,NA,0.42,NA,0,0,0,NA,NA,NA,NA,NA,0.42,NA
1995,Indonesia,Russia,NA,NA,NA,NA,NA,0,0.01,0.44,NA,0,0,0,0,0.01,NA,NA,NA,0.44,NA
1996,Indonesia,Russia,NA,NA,NA,NA,NA,0,0,0.55,NA,0,0,0,0,0,NA,NA,NA,0.55,NA
1997,Indonesia,Russia,NA,NA,NA,NA,NA,0,0,0.6,NA,0,0,0,0,0,NA,NA,NA,0.6,NA
1998,Indonesia,Russia,NA,NA,NA,NA,NA,0,0,0.63,NA,0,0,0,0,0,NA,NA,NA,0.63,NA
1999,Indonesia,Russia,NA,NA,NA,NA,NA,0,0,0.64,NA,0,0,0,0,0,NA,NA,NA,0.64,NA
2000,Indonesia,Russia,0.34,0.23,0.23,0.47,0.43,0,0,0.74,0.62,0,0,0,0,0,NA,NA,0.62,0.74,NA
2001,Indonesia,Russia,0.43,0.4,0.29,0.54,0.49,0.33,0,0.76,0.62,1,0,0,0,0,NA,NA,0.62,0.76,NA
2002,Indonesia,Russia,0.36,0.3,0.24,0.46,0.45,0.17,0,0.65,0.63,0.5,0,0,0,0,NA,0.64,0.62,0.65,NA
2003,Indonesia,Russia,0.42,0.39,0.28,0.49,0.51,0.33,0,0.64,0.7,1,0,0,0,0,NA,0.79,0.62,0.77,0.5
2004,Indonesia,Russia,0.34,0.23,0.23,0.43,0.48,0,0,0.61,0.75,0,0,0,0,0,NA,0.87,0.63,0.72,0.5
2005,Indonesia,Russia,0.37,0.31,0.25,0.45,0.49,0.17,0,0.61,0.71,0.5,0,0,0,0.01,NA,0.8,0.63,0.73,0.5
2006,Indonesia,Russia,0.33,0.22,0.22,0.43,0.45,0,0,0.64,0.69,0,0,0,0,0,NA,0.75,0.63,0.78,0.5
2007,Indonesia,Russia,0.33,0.22,0.22,0.43,0.45,0,0,0.63,0.69,0,0,0,0,0.01,NA,0.75,0.63,0.76,0.5
2008,Indonesia,Russia,0.32,0.27,0.21,0.33,0.46,0.17,0.01,0.36,0.73,0.5,0,0,0,0.01,NA,0.83,0.63,0.73,0
2009,Indonesia,Russia,0.3,0.26,0.2,0.32,0.42,0.17,0,0.36,0.67,0.5,0,0,0,0,0,0.7,0.63,0.73,0
2010,Indonesia,Russia,0.32,0.27,0.22,0.34,0.47,0.17,0,0.37,0.75,0.5,0,0,0.01,0.01,0,0.87,0.63,0.75,0
2011,Indonesia,Russia,0.31,0.21,0.21,0.41,0.42,0,0,0.61,0.63,0,0,0,0.01,0.01,0,NA,0.63,0.71,0.5
2012,Indonesia,Russia,0.39,0.31,0.26,0.44,0.53,0.17,0.01,0.56,0.81,0.5,0,0,0.01,0.01,0,0.98,0.63,0.63,0.5
2013,Indonesia,Russia,0.37,0.29,0.25,0.44,0.51,0.11,0.01,0.59,0.79,0.33,0,0,0.01,0.01,0,0.95,0.63,0.67,0.5
2014,Indonesia,Russia,0.34,0.23,0.23,0.42,0.48,0,0,0.58,0.77,0,0,0,0.01,0.01,0,0.91,0.63,0.65,0.5
2015,Indonesia,Russia,0.27,0.18,0.18,0.28,0.44,0,0,0.3,0.78,0,0,0,0.01,0,0,0.92,0.64,0.6,0
2016,Indonesia,Russia,0.32,0.22,0.22,0.39,0.47,0,0.01,0.52,0.77,0,0,0,0.01,0,0,0.9,0.63,0.54,0.5
2017,Indonesia,Russia,0.26,0.17,0.18,0.27,0.43,0,0.01,0.29,0.75,0,0,0,0.01,0.01,0,0.87,0.63,0.58,0
2018,Indonesia,Russia,NA,NA,NA,NA,NA,0,NA,0.58,0.75,0,0,0,NA,NA,NA,0.87,0.63,0.65,0.5
1991,Indonesia,United States,NA,NA,NA,NA,NA,0,NA,0.08,NA,0,0,0,NA,NA,NA,NA,NA,0.08,NA
1992,Indonesia,United States,NA,NA,NA,NA,NA,0,NA,0.12,NA,0,0,0,NA,NA,NA,NA,NA,0.12,NA
1993,Indonesia,United States,NA,NA,NA,NA,NA,0.33,NA,0.13,NA,1,0,0,NA,NA,NA,NA,NA,0.13,NA
1994,Indonesia,United States,NA,NA,NA,NA,NA,0,NA,0.24,NA,0,0,0,NA,NA,NA,NA,NA,0.24,NA
1995,Indonesia,United States,NA,NA,NA,NA,NA,0,0.13,0.18,NA,0,0,0,0.15,0.11,NA,NA,NA,0.18,NA
1996,Indonesia,United States,NA,NA,NA,NA,NA,0.33,0.13,0.21,NA,1,0,0,0.15,0.11,NA,NA,NA,0.21,NA
1997,Indonesia,United States,NA,NA,NA,NA,NA,0,0.14,0.24,NA,0,0,0,0.16,0.13,NA,NA,NA,0.24,NA
1998,Indonesia,United States,NA,NA,NA,NA,NA,0.33,0.15,0.22,NA,1,0,0,0.17,0.13,NA,NA,NA,0.22,NA
1999,Indonesia,United States,NA,NA,NA,NA,NA,0,0.14,0.21,NA,0,0,0,0.17,0.11,NA,NA,NA,0.21,NA
2000,Indonesia,United States,0.33,0.33,0.26,0.3,0.43,0.33,0.12,0.25,0.62,1,0,0,0.15,0.09,NA,NA,0.62,0.25,NA
2001,Indonesia,United States,0.23,0.15,0.2,0.22,0.36,0,0.12,0.18,0.62,0,0,0,0.15,0.09,NA,NA,0.62,0.18,NA
2002,Indonesia,United States,0.29,0.25,0.23,0.25,0.42,0.17,0.11,0.16,0.7,0.5,0,0,0.15,0.08,NA,0.78,0.62,0.16,NA
2003,Indonesia,United States,0.25,0.17,0.2,0.28,0.37,0,0.1,0.33,0.59,0,0,0,0.13,0.07,NA,0.56,0.62,0.16,0.5
2004,Indonesia,United States,0.17,0.11,0.14,0.12,0.3,0,0.09,0.03,0.55,0,0,0,0.12,0.06,NA,0.47,0.63,0.07,0
2005,Indonesia,United States,0.2,0.13,0.16,0.15,0.35,0,0.09,0.06,0.65,0,0,0,0.12,0.06,NA,0.68,0.63,0.12,0
2006,Indonesia,United States,0.31,0.26,0.24,0.31,0.43,0.17,0.09,0.32,0.67,0.5,0,0,0.11,0.06,NA,0.72,0.63,0.13,0.5
2007,Indonesia,United States,0.2,0.13,0.16,0.14,0.35,0,0.08,0.03,0.67,0,0,0,0.11,0.06,NA,0.71,0.63,0.06,0
2008,Indonesia,United States,0.19,0.13,0.15,0.15,0.33,0,0.08,0.07,0.61,0,0,0,0.1,0.06,NA,0.58,0.63,0.14,0
2009,Indonesia,United States,0.2,0.13,0.16,0.16,0.33,0,0.09,0.1,0.59,0,0,0,0.09,0.07,0.11,0.55,0.63,0.2,0
